Employee_ID,Gender,Job_Level_after_FY20_promotions,New_hire_FY20?,FY20_Performance_Rating,Promotion_in_FY21,In_base_group_for_Promotion_FY21,Target_hire_balance,FY20_leaver,In_base_group_for_turnover_FY20,Department_01.07.2020,Leaver_FY,Job_Level_after_FY21_promotions,Last_Department_in_FY20,FTE_group,Time_type,Department_&_JL_group_PRA_status,Department_&_JL_group_for_PRA,Job_Level_group_PRA_status,Job_Level_group_for_PRA,Time_in_Job_Level_01.07.2020,Job_Level_before_FY20_promotions,Promotion_in_FY20,FY19_Performance_Rating,Age_group,Age_01.07.2020,Nationality_1,Region_group_nationality_1,Broad_region_group_nationality_1,Last_hire_date,Years_since_last_hire,Rand
28,Male,5 - Senior Officer,N,4,No,Yes,0.5,No,Y,Sales & Marketing,not leave,5 - Senior Officer,Sales & Marketing,Full Time,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,2,5 - Senior Officer,N,2,20 to 29,27,Italy,Europe,Europe,01-04-2016,4,0.880087273
29,Female,5 - Senior Officer,N,2,No,Yes,0.5,No,Y,Finance,not leave,5 - Senior Officer,Finance,Full Time,Full Time,Inconclusive,5 - Senior Officer & Finance,Even,5 - Senior Officer,2,5 - Senior Officer,N,3,30 to 39,32,Italy,Europe,Europe,01-04-2016,4,0.140892698
30,Male,6 - Junior Officer,N,2,No,Yes,0.5,No,Y,Operations,not leave,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,1,6 - Junior Officer,N,0,20 to 29,25,Switzerland,Switzerland,Switzerland,01-04-2019,1,0.700978228
31,Female,6 - Junior Officer,N,2,Yes,Yes,0.5,No,Y,Operations,not leave,5 - Senior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,3,6 - Junior Officer,N,2,30 to 39,33,Switzerland,Switzerland,Switzerland,01-04-2017,3,0.352752859
32,Male,4 - Manager,N,1,Yes,Yes,0.5,No,Y,Sales & Marketing,not leave,3 - Senior Manager,Sales & Marketing,Full Time,Full Time,Uneven - Men benefit,4 - Manager & Sales & Marketing,Even,4 - Manager,2,4 - Manager,N,2,30 to 39,30,Switzerland,Switzerland,Switzerland,01-04-2012,8,0.110661326
33,Male,4 - Manager,N,2,No,Yes,0.5,No,Y,Sales & Marketing,not leave,4 - Manager,Sales & Marketing,Full Time,Full Time,Uneven - Men benefit,4 - Manager & Sales & Marketing,Even,4 - Manager,1,5 - Senior Officer,Y,1,30 to 39,33,Germany,Europe,Europe,01-04-2014,6,0.256240962
34,Female,5 - Senior Officer,N,1,Yes,Yes,0.5,No,Y,Internal Services,not leave,4 - Manager,Internal Services,Full Time,Full Time,Even,5 - Senior Officer & Internal Services,Even,5 - Senior Officer,5,5 - Senior Officer,N,2,30 to 39,37,Switzerland,Switzerland,Switzerland,01-04-2014,6,0.538324075
35,Male,5 - Senior Officer,N,3,No,Yes,0.5,No,Y,Internal Services,not leave,5 - Senior Officer,Internal Services,Full Time,Full Time,Even,5 - Senior Officer & Internal Services,Even,5 - Senior Officer,3,5 - Senior Officer,N,0,20 to 29,27,Switzerland,Switzerland,Switzerland,01-04-2017,3,0.505217457
36,Male,3 - Senior Manager,N,1,No,Yes,0.5,No,Y,Sales & Marketing,not leave,3 - Senior Manager,Sales & Marketing,Full Time,Full Time,Uneven - Men benefit,3 - Senior Manager & Sales & Marketing,Uneven - Men benefit,3 - Senior Manager,3,3 - Senior Manager,N,3,30 to 39,39,Portugal,Europe,Europe,01-04-2015,5,0.445261279
37,Male,6 - Junior Officer,N,2,No,Yes,0.5,No,Y,Operations,not leave,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,2,6 - Junior Officer,N,2,20 to 29,25,Switzerland,Switzerland,Switzerland,01-04-2018,2,0.939917237
38,Female,6 - Junior Officer,Y,0,No,No,0.5,No,N,Operations,not leave,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,0,NA,N,0,20 to 29,27,Italy,Europe,Europe,01-04-2020,0,0.6288546
39,Male,5 - Senior Officer,N,3,No,Yes,0.5,No,Y,Internal Services,not leave,5 - Senior Officer,Internal Services,Full Time,Full Time,Even,5 - Senior Officer & Internal Services,Even,5 - Senior Officer,1,6 - Junior Officer,Y,2,20 to 29,24,Switzerland,Switzerland,Switzerland,01-04-2015,5,0.937046748
40,Male,6 - Junior Officer,N,3,No,Yes,0.5,No,Y,Operations,not leave,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,3,6 - Junior Officer,N,2,20 to 29,21,Germany,Europe,Europe,01-04-2017,3,0.782596261
41,Female,6 - Junior Officer,N,2,No,Yes,0.5,No,Y,Operations,not leave,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,2,6 - Junior Officer,N,3,20 to 29,27,France,Europe,Europe,01-04-2018,2,0.940847441
42,Female,6 - Junior Officer,N,3,No,Yes,0.5,No,Y,Operations,not leave,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,1,6 - Junior Officer,N,0,20 to 29,28,Switzerland,Switzerland,Switzerland,01-04-2019,1,0.608170571
43,Male,3 - Senior Manager,N,2,No,Yes,0.5,No,Y,Operations,not leave,3 - Senior Manager,Operations,Full Time,Full Time,Even,3 - Senior Manager & Operations,Uneven - Men benefit,3 - Senior Manager,4,3 - Senior Manager,N,2,40 to 49,40,Switzerland,Switzerland,Switzerland,01-04-2016,4,0.148630464
44,Female,6 - Junior Officer,N,2,No,Yes,0.5,No,Y,Sales & Marketing,not leave,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,2,6 - Junior Officer,N,2,20 to 29,23,Italy,Europe,Europe,01-04-2018,2,0.049540985
45,Male,2 - Director,N,2,No,No,0.5,Yes,Y,Internal Services,FY20,not promotion,Internal Services,Full Time,Full Time,NA,NA,NA,NA,3,2 - Director,N,3,50 to 59,54,Switzerland,Switzerland,Switzerland,01-04-2011,9,0.841306374
46,Male,6 - Junior Officer,N,2,No,Yes,0.5,No,Y,Internal Services,not leave,6 - Junior Officer,Internal Services,Full Time,Full Time,Even,6 - Junior Officer & Internal Services,Even,6 - Junior Officer,3,6 - Junior Officer,N,3,20 to 29,26,France,Europe,Europe,01-04-2017,3,0.565403257
47,Female,4 - Manager,N,2,No,Yes,0.5,No,Y,HR,not leave,4 - Manager,HR,Full Time,Full Time,Inconclusive,4 - Manager & HR,Even,4 - Manager,2,4 - Manager,N,3,30 to 39,36,Austria,Europe,Europe,01-04-2016,4,0.883351284
48,Female,6 - Junior Officer,N,3,No,Yes,0.5,No,Y,Operations,not leave,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,3,6 - Junior Officer,N,3,20 to 29,22,France,Europe,Europe,01-04-2017,3,0.315291769
49,Female,6 - Junior Officer,N,2,No,Yes,0.5,No,Y,HR,not leave,6 - Junior Officer,HR,Full Time,Full Time,Inconclusive,6 - Junior Officer & HR,Even,6 - Junior Officer,2,6 - Junior Officer,N,2,30 to 39,31,Switzerland,Switzerland,Switzerland,01-04-2018,2,0.663630968
50,Female,6 - Junior Officer,N,3,No,Yes,0.5,No,Y,Operations,not leave,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,2,6 - Junior Officer,N,3,20 to 29,22,Austria,Europe,Europe,01-04-2018,2,0.074111457
51,Male,5 - Senior Officer,N,2,Yes,Yes,0.5,No,Y,Operations,not leave,4 - Manager,Operations,Full Time,Full Time,Even,5 - Senior Officer & Operations,Even,5 - Senior Officer,6,5 - Senior Officer,N,3,30 to 39,31,Switzerland,Switzerland,Switzerland,01-04-2012,8,0.232568853
52,Male,4 - Manager,N,2,No,Yes,0.5,No,Y,Sales & Marketing,not leave,4 - Manager,Sales & Marketing,Full Time,Full Time,Uneven - Men benefit,4 - Manager & Sales & Marketing,Even,4 - Manager,2,4 - Manager,N,3,30 to 39,32,France,Europe,Europe,01-04-2012,8,0.7841387
53,Male,5 - Senior Officer,N,2,No,Yes,0.5,No,Y,Sales & Marketing,not leave,5 - Senior Officer,Sales & Marketing,Full Time,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,3,5 - Senior Officer,N,2,30 to 39,30,Switzerland,Switzerland,Switzerland,01-04-2012,8,0.614001307
54,Male,5 - Senior Officer,N,2,Yes,Yes,0.5,No,Y,Operations,not leave,4 - Manager,Operations,Full Time,Full Time,Even,5 - Senior Officer & Operations,Even,5 - Senior Officer,7,5 - Senior Officer,N,3,30 to 39,33,Switzerland,Switzerland,Switzerland,01-04-2012,8,0.356872679
55,Female,6 - Junior Officer,N,2,No,Yes,0.5,No,Y,Sales & Marketing,not leave,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,3,6 - Junior Officer,N,3,20 to 29,25,Switzerland,Switzerland,Switzerland,01-04-2017,3,0.311018274
56,Male,6 - Junior Officer,Y,0,No,No,0.5,No,N,Sales & Marketing,not leave,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,0,NA,N,0,20 to 29,25,Switzerland,Switzerland,Switzerland,01-04-2020,0,0.271792244
57,Female,4 - Manager,N,0,No,No,0.5,Yes,Y,Sales & Marketing,FY20,not promotion,Sales & Marketing,Full Time,Full Time,NA,NA,NA,NA,3,4 - Manager,N,3,30 to 39,38,United Kingdom,Europe,Europe,01-04-2016,4,0.111508399
58,Male,5 - Senior Officer,N,2,Yes,Yes,0.5,No,Y,Sales & Marketing,not leave,4 - Manager,Sales & Marketing,Full Time,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,2,5 - Senior Officer,N,3,30 to 39,35,Switzerland,Switzerland,Switzerland,01-04-2018,2,0.559923829
59,Male,6 - Junior Officer,N,2,No,Yes,0.5,No,Y,Operations,not leave,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,1,6 - Junior Officer,N,0,20 to 29,22,Switzerland,Switzerland,Switzerland,01-04-2019,1,0.579951537
60,Male,6 - Junior Officer,N,2,No,No,0.5,Yes,Y,Operations,FY20,not promotion,Operations,Full Time,Full Time,NA,NA,NA,NA,3,6 - Junior Officer,N,3,30 to 39,38,France,Europe,Europe,01-04-2017,3,0.52503697
61,Female,6 - Junior Officer,N,3,No,Yes,0.5,No,Y,Sales & Marketing,not leave,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,1,6 - Junior Officer,N,0,20 to 29,23,France,Europe,Europe,01-04-2019,1,0.937482442
62,Female,5 - Senior Officer,N,3,No,No,0.5,Yes,Y,Operations,FY20,not promotion,Operations,0.8,Part Time,NA,NA,NA,NA,2,5 - Senior Officer,N,3,50 to 59,56,Switzerland,Switzerland,Switzerland,01-04-2012,8,0.390928647
63,Male,6 - Junior Officer,N,2,No,Yes,0.5,No,Y,Sales & Marketing,not leave,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,1,6 - Junior Officer,N,0,20 to 29,20,United States,Americas,Elsewhere,01-04-2019,1,0.558941423
64,Male,2 - Director,N,3,No,Yes,0.5,No,Y,Sales & Marketing,not leave,2 - Director,Sales & Marketing,Full Time,Full Time,Inconclusive,2 - Director & Sales & Marketing,Uneven - Men benefit,2 - Director,3,2 - Director,N,3,30 to 39,36,Switzerland,Switzerland,Switzerland,01-04-2011,9,0.316225449
65,Female,2 - Director,N,2,No,Yes,0.5,No,Y,Sales & Marketing,not leave,2 - Director,Sales & Marketing,Full Time,Full Time,Inconclusive,2 - Director & Sales & Marketing,Uneven - Men benefit,2 - Director,3,2 - Director,N,3,40 to 49,45,France,Europe,Europe,01-04-2016,4,0.651762191
66,Female,3 - Senior Manager,N,3,No,Yes,0.5,No,Y,Sales & Marketing,not leave,3 - Senior Manager,Sales & Marketing,Full Time,Full Time,Uneven - Men benefit,3 - Senior Manager & Sales & Marketing,Uneven - Men benefit,3 - Senior Manager,1,4 - Manager,Y,2,30 to 39,39,Germany,Europe,Europe,01-04-2015,5,0.12337069
67,Male,2 - Director,N,2,No,Yes,0.5,No,Y,Operations,not leave,2 - Director,Operations,Full Time,Full Time,Even,2 - Director & Operations,Uneven - Men benefit,2 - Director,1,3 - Senior Manager,Y,1,40 to 49,46,Switzerland,Switzerland,Switzerland,01-04-2016,4,0.358000372
68,Male,5 - Senior Officer,N,3,No,Yes,0.5,No,Y,Sales & Marketing,not leave,5 - Senior Officer,Sales & Marketing,Full Time,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,5,5 - Senior Officer,N,3,20 to 29,25,Switzerland,Switzerland,Switzerland,01-04-2014,6,0.84130003
69,Female,6 - Junior Officer,N,2,No,Yes,0.5,No,Y,Operations,not leave,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,2,6 - Junior Officer,N,2,20 to 29,26,United Kingdom,Europe,Europe,01-04-2018,2,0.418351239
70,Male,5 - Senior Officer,N,2,No,Yes,0.5,No,Y,Sales & Marketing,not leave,5 - Senior Officer,Sales & Marketing,Full Time,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,4,5 - Senior Officer,N,3,20 to 29,29,Switzerland,Switzerland,Switzerland,01-04-2016,4,0.168733113
71,Female,4 - Manager,N,3,No,Yes,0.5,No,Y,Operations,not leave,4 - Manager,Operations,Full Time,Full Time,Even,4 - Manager & Operations,Even,4 - Manager,4,4 - Manager,N,3,40 to 49,40,Portugal,Europe,Europe,01-04-2011,9,0.815629613
72,Female,5 - Senior Officer,N,2,No,Yes,0.5,No,Y,Operations,not leave,5 - Senior Officer,Operations,Full Time,Full Time,Even,5 - Senior Officer & Operations,Even,5 - Senior Officer,4,5 - Senior Officer,N,3,30 to 39,34,France,Europe,Europe,01-04-2016,4,0.765377228
73,Male,2 - Director,Y,0,No,No,0.5,No,N,Operations,not leave,2 - Director,Operations,Full Time,Full Time,Even,2 - Director & Operations,Uneven - Men benefit,2 - Director,0,NA,N,0,50 to 59,51,Switzerland,Switzerland,Switzerland,01-04-2020,0,0.056473636
74,Female,5 - Senior Officer,N,0,No,No,0.5,Yes,Y,Sales & Marketing,FY20,not promotion,Sales & Marketing,0.8,Part Time,NA,NA,NA,NA,3,5 - Senior Officer,N,3,40 to 49,41,Switzerland,Switzerland,Switzerland,01-04-2017,3,0.402759473
75,Female,6 - Junior Officer,N,3,No,Yes,0.5,No,Y,Sales & Marketing,not leave,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,3,6 - Junior Officer,N,2,20 to 29,24,Switzerland,Switzerland,Switzerland,01-04-2017,3,0.665309657
76,Female,4 - Manager,N,2,Yes,Yes,0.5,No,Y,Internal Services,not leave,3 - Senior Manager,Internal Services,Full Time,Full Time,Even,4 - Manager & Internal Services,Even,4 - Manager,4,4 - Manager,N,3,40 to 49,43,Switzerland,Switzerland,Switzerland,01-04-2012,8,0.303871051
77,Male,3 - Senior Manager,N,2,No,Yes,0.5,No,Y,Sales & Marketing,not leave,3 - Senior Manager,Sales & Marketing,Full Time,Full Time,Uneven - Men benefit,3 - Senior Manager & Sales & Marketing,Uneven - Men benefit,3 - Senior Manager,2,3 - Senior Manager,N,3,40 to 49,41,Germany,Europe,Europe,01-04-2016,4,0.93798805
78,Female,5 - Senior Officer,N,2,No,Yes,0.5,No,Y,Sales & Marketing,not leave,5 - Senior Officer,Sales & Marketing,0.7,Part Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,3,5 - Senior Officer,N,3,30 to 39,31,Switzerland,Switzerland,Switzerland,01-04-2012,8,0.303157964
79,Male,6 - Junior Officer,Y,0,No,No,0.5,No,N,Sales & Marketing,not leave,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,0,NA,N,0,20 to 29,26,Germany,Europe,Europe,01-04-2020,0,0.471267199
80,Female,5 - Senior Officer,N,3,No,Yes,0.5,No,Y,Operations,not leave,5 - Senior Officer,Operations,0.5,Part Time,Even,5 - Senior Officer & Operations,Even,5 - Senior Officer,3,5 - Senior Officer,N,2,20 to 29,28,France,Europe,Europe,01-04-2014,6,0.311514477
81,Male,2 - Director,N,3,No,Yes,0.5,No,Y,Operations,not leave,2 - Director,Operations,Full Time,Full Time,Even,2 - Director & Operations,Uneven - Men benefit,2 - Director,3,2 - Director,N,2,40 to 49,42,Switzerland,Switzerland,Switzerland,01-04-2013,7,0.024018924
82,Male,6 - Junior Officer,N,1,No,Yes,0.5,No,Y,Internal Services,not leave,6 - Junior Officer,Internal Services,Full Time,Full Time,Even,6 - Junior Officer & Internal Services,Even,6 - Junior Officer,2,6 - Junior Officer,N,3,20 to 29,25,Switzerland,Switzerland,Switzerland,01-04-2018,2,0.569948499
83,Female,6 - Junior Officer,N,4,No,Yes,0.5,No,Y,Operations,not leave,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,3,6 - Junior Officer,N,3,20 to 29,23,Switzerland,Switzerland,Switzerland,01-04-2017,3,0.523668312
84,Female,6 - Junior Officer,N,3,No,Yes,0.5,No,Y,Operations,not leave,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,3,6 - Junior Officer,N,3,20 to 29,26,France,Europe,Europe,01-04-2017,3,0.875446981
85,Male,2 - Director,N,4,No,No,0.5,Yes,Y,Internal Services,FY20,not promotion,Internal Services,Full Time,Full Time,NA,NA,NA,NA,2,2 - Director,N,4,30 to 39,33,France,Europe,Europe,01-04-2017,3,0.054049272
86,Female,6 - Junior Officer,N,2,No,Yes,0.5,No,Y,Sales & Marketing,not leave,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,2,6 - Junior Officer,N,3,20 to 29,25,Switzerland,Switzerland,Switzerland,01-04-2018,2,0.834143445
87,Male,1 - Executive,N,0,No,No,0.5,No,Y,Internal Services,not leave,1 - Executive,Internal Services,Full Time,Full Time,NA,NA,NA,NA,3,1 - Executive,N,2,40 to 49,40,Switzerland,Switzerland,Switzerland,01-04-2011,9,0.647248872
